Category,Year,King County,Snohomish County
Manslaughter,1990,6.8,0
Manslaughter,1990,6.8,8
Manslaughter,1990,6.8,43.8
Manslaughter,1990,6.8,0
Manslaughter,1990,22,0
Manslaughter,1990,22,0
Manslaughter,1990,22,0
Manslaughter,1990,22,0
Manslaughter,1990,22,8
Manslaughter,1990,22,43.8
Manslaughter,1990,22,0
Manslaughter,1990,40.8,0
Manslaughter,1990,40.8,0
Manslaughter,1990,40.8,0
Manslaughter,1990,40.8,0
Manslaughter,1990,40.8,8
Manslaughter,1990,40.8,43.8
Manslaughter,1990,40.8,0
Manslaughter,1990,0,0
Manslaughter,1990,0,0
Manslaughter,1990,0,0
Manslaughter,1990,0,0
Manslaughter,1990,0,8
Manslaughter,1990,0,43.8
Manslaughter,1990,0,0
Forcible Sex,1990,0,0
Forcible Sex,1990,0,0
Forcible Sex,1990,0,0
Forcible Sex,1990,0,0
Forcible Sex,1990,0,0
Forcible Sex,1990,0,0
Forcible Sex,1990,0,0
Forcible Sex,1990,0,0
Forcible Sex,1990,0,0
Non Forcible Sex,1990,0,0
Non Forcible Sex,1990,0,0
Non Forcible Sex,1990,0,0
Non Forcible Sex,1990,0,0
Non Forcible Sex,1990,0,0
Non Forcible Sex,1990,0,0
Non Forcible Sex,1990,0,0
Non Forcible Sex,1990,0,0
Non Forcible Sex,1990,0,0
Assault,1990,0,0
Assault,1990,0,0
Assault,1990,0,167
Assault,1990,0,89
Assault,1990,0,4.7
Assault,1990,0,28
Assault,1990,0,39.4
Assault,1990,0,0
Assault,1990,0,
Assault,1990,0,
Assault,1990,0,
Assault,1990,0,0
Assault,1990,0,0
Assault,1990,0,167
Assault,1990,0,89
Assault,1990,0,4.7
Assault,1990,0,28
Assault,1990,0,39.4
Assault,1990,0,0
Assault,1990,0,
Assault,1990,0,
Assault,1990,0,
Assault,1990,557,0
Assault,1990,557,0
Assault,1990,557,167
Assault,1990,557,89
Assault,1990,557,4.7
Assault,1990,557,28
Assault,1990,557,39.4
Assault,1990,557,0
Assault,1990,557,
Assault,1990,557,
Assault,1990,557,
Assault,1990,231,0
Assault,1990,231,0
Assault,1990,231,167
Assault,1990,231,89
Assault,1990,231,4.7
Assault,1990,231,28
Assault,1990,231,39.4
Assault,1990,231,0
Assault,1990,231,
Assault,1990,231,
Assault,1990,231,
Assault,1990,4.8,0
Assault,1990,4.8,0
Assault,1990,4.8,167
Assault,1990,4.8,89
Assault,1990,4.8,4.7
Assault,1990,4.8,28
Assault,1990,4.8,39.4
Assault,1990,4.8,0
Assault,1990,4.8,
Assault,1990,4.8,
Assault,1990,4.8,
Assault,1990,114,0
Assault,1990,114,0
Assault,1990,114,167
Assault,1990,114,89
Assault,1990,114,4.7
Assault,1990,114,28
Assault,1990,114,39.4
Assault,1990,114,0
Assault,1990,114,
Assault,1990,114,
Assault,1990,114,
Assault,1990,36.8,0
Assault,1990,36.8,0
Assault,1990,36.8,167
Assault,1990,36.8,89
Assault,1990,36.8,4.7
Assault,1990,36.8,28
Assault,1990,36.8,39.4
Assault,1990,36.8,0
Assault,1990,36.8,
Assault,1990,36.8,
Assault,1990,36.8,
Assault,1990,0,0
Assault,1990,0,0
Assault,1990,0,167
Assault,1990,0,89
Assault,1990,0,4.7
Assault,1990,0,28
Assault,1990,0,39.4
Assault,1990,0,0
Assault,1990,0,
Assault,1990,0,
Assault,1990,0,
Assault,1990,,0
Assault,1990,,0
Assault,1990,,167
Assault,1990,,89
Assault,1990,,4.7
Assault,1990,,28
Assault,1990,,39.4
Assault,1990,,0
Assault,1990,,
